Title,Author,Total ratings,Average rating,Total reviews,Description,Top Genre,Date published,Pages,Currently reading,Want to read
Women Who Work: Rewriting the Rules for Success,Ivanka Trump,980,2.89,210,"I believe that when it comes to women and work, there isn’t one right answer. The only person who can create a life you’ll love is you.   Our grandmothers fought for the right to work. Our mothers fought for the choice to be in an office or stay at home. Our generation is the first to fully embrace and celebrate the fact our lives are multidimensional. Thanks to the women who came before us and paved the way, we can create the lives we want to lead—which looks different for each of us.   I’ve been fortunate to be able to build my career around my passions, from real estate to fashion. But my professional titles only begin to describe who I am and what I value. I’m an executive and an entrepreneur, but I’m also—and just as importantly—a wife, mother, daughter and friend. To me, “work” encompasses my efforts to succeed in all of these areas.    After appearing on The Apprentice years ago and receiving a flood of letters from young women asking for guidance, I realized the need for more female leaders to speak out publicly in order to change the way society thinks and talks about “women who work.” So I created a forum to do just that. This book evolves the conversation that started, and continues, on IvankaTrump.com, where so many incredible women (and men!) are coming together to share their experiences, advice, ambitions, and passions.   Women who work lead meetings and train for marathons. We learn how to cook and how to code. We inspire our employees and our children. We innovate at our current jobs and start new businesses.    Women Who Work will equip you with the best skills I’ve learned from some of the amazing people I’ve met, on subjects such as identifying opportunities, shifting careers smoothly, negotiating, leading teams, starting companies, managing work and family, and helping change the system to make it better for women—now and in the future. I hope it will inspire you to redefine success and architect a life that honors your individual passions and priorities in a way only you can.",Nonfiction,2017,250,180,"1,004"
Behind the Bell,Dustin Diamond,727,2.34,156,"For the first-time, Diamond presents the inside story of the young cast from Saved by the Bell that the viewing public thought were so lucky . . .Learn the dark, behind-the-scenes story of the cast and crew's extreme lifestyle: sex, drugs, and wild partiesPost-Bell, discover how Diamond used his natural comedic talents to overcome being typecast as a child actor and how he reinvented himself through stand-up comedy and reality TV. Working in Hollywood might represent an American Dream, but for many youngsters it is a true nightmare. Dustin Diamond is best known for his character Samuel Screech Powers in the late '80s and '90s on the long-running American TV teen sitcom Saved by the Bell (SBTB). Diamond's new book gives readers the disheartening story of an ex-child star. Dustin faced serious challenges moving his career beyond his comic role as the smart, funny, and endearing nerd of Bayside High School on the show that made him an audience favorite. Through his eyes, we uncover Hollywood's myths.",Nonfiction,"September 25, 2009",230,10,677
Revealing Eden,Victoria Foyt,943,2.03,370,"Eden Newman must mate before her 18th birthday in six months or she'll be left outside to die in a burning world. But who will pick up her mate-option when she's cursed with white skin and a tragically low mate-rate of 15%? In a post-apocalyptic, totalitarian, underground world where class and beauty are defined by resistance to an overheated environment, Eden's coloring brands her as a member of the lowest class, a weak and ugly Pearl. If only she can mate with a dark-skinned Coal from the ruling class, she'll be safe. Just maybe one Coal sees the Real Eden and will be her salvation her co-worker Jamal has begun secretly dating her. But when Eden unwittingly compromises her father's secret biological experiment, she finds herself in the eye of a storm and thrown into the last area of rainforest, a strange and dangerous land. Eden must fight to save her father, who may be humanity's last hope, while standing up to a powerful beast-man she believes is her enemy, despite her overwhelming attraction. Eden must change to survive but only if she can redefine her ideas of beauty and of love, along with a little help from her ""adopted aunt"" Emily Dickinson.",Young Adult,"October 1, 2011",307,15,"4,181"
Trigger Warning,William W. Johnstone,546,1.94,192,"POLITICAL CORRECTNESS WON'T SAVE YOUFormer Army Ranger Jake Rivers is not your typical Kelton College student. He is not spoiled, coddled, or ultra-lib like his classmates who sneer at the ""soldier boy.""Rivers is not ""triggered"" by ""microaggressions."" He is not outraged by ""male privilege"" and""cisgender bathrooms."" He does not need a ""safe space."" Or coloring books. Jake needs an education. And when terror strikes, the school needs Jake . . .Without warning, the sounds of gunfire plunge the campus into a battle zone. A violent gang of marauders invade the main hall, taking students as hostages for big ransom money. As a veteran and patriot, Jake won't give in to their demands. But to fight back, he needs to enlist his fellow classmates to school these special snowflakes in the not-so-liberal art of war. This time, the aggression isn't ""micro."" It's life or death. And only the strong survive . . .",Fiction,"August 28, 2018",384,85,"1,049"
Reaper's Creek,Onision,303,1.13,89,"A young boy named Daniel encounters creatures from another world. They take him night after night, into the black void of their reality till he begins asking questions. Why was he chosen? What do they want from him? Does he have to be a victim?Daniel decides to fight and as he wages war on all those who try to harm him, he finds his own adventure. Love, loss & chaos, this is the life of Daniel.",Fiction,"December 14, 2018",122,9,137
The Bible Code,Michael Drosnin,2012,2.86,164,"The Barnes & Noble Review October 1997 The Bible Code is the first full account of a scientific discovery that may change the world, told by a skeptical secular reporter who became part of the story. During Drosnin's five-year investigation of the 3,000-year-old code in the Bible that may reveal our future, he interviewed all the experts, here and abroad. He spent many weeks with the world-class mathematician who discovered the code, Dr. Eliyahu Rips, and he met with famous mathematicians at Harvard, Yale, and Hebrew University. He also talked to a senior code breaker at the top-secret U.S. National Security Agency, who replicated the code and confirmed its messages.  More than just a simple skip code, the Bible code crisscrosses the entire known text of the Bible to find a complex network of words and phrases. For example, after it finds a keyword (""Yitzhak Rabin""), the computer then looks for related information (""assassin,"" ""Amir,"" ""Tel Aviv""). Time after time it finds connected names, dates, and places encoded together. With ""Bill Clinton,"" ""President."" With ""Hitler,"" ""Nazi."" With the moon landing, ""spaceship"" and ""Apollo 11."" A code that has information about significant earthquakes that already happened warns of a major earthquake in Los Angeles early in the next century. It also warns of a nuclear war triggered by an act of nuclear terrorism against Israel.  The Bible code raises a critical question: Does the code describe an inevitable future or a series of possible futures whose ultimate outcome we can still decide? In any event, the Bible code forces us to accept whattheBible itself can only ask us to believe: that we are not alone. As Drosnin states, ""If the Bible code proves one thing, it is that a nonhuman intelligence does exist, or at least did exist at the time the Bible was written. No human could have looked thousands of years ahead and encoded in that ancient book the details of today's world.""",Nonfiction,"January 1, 1997",264,49,839
Star,Pamela Anderson,1309,2.88,154,"Pamela Anderson's life is the stuff of fairy tales and centerfolds. A champagne blonde who was discovered by a beer company, she moved from model to Playmate, from actress to star...and now, along with ""ghostwriter"" Eric Shaw Quinn, she can add bestselling author to her resumé. THE NEW YORK TIMES LOS ANGELES TIMES PUBLISHERS WEEKLY AND USA TODAY BESTSELLER Star is a breathless romp through tinseltown and tabloids. An insider's look at the world of inflated egos and inflated bodies, Ms. Anderson's novel goes beyond the air kisses and velvet ropes to show what really happens when A-list meets D-cup, when small-town girl gets all glittered up and becomes a star.",Fiction,"January 1, 2004",432,35,540
Pride and Promiscuity: The Lost Sex Scenes of Jane Austen,Arielle Eckstut,464,2.67,99,"So it wasn't just subtext after all! In an unparalleled literary discovery, previously unknown writings unmask the Jane Austen hidden from history and reveal a writer whose sense and sensibility were more than matched by her knowledge of sex and sensuality. In a pitch-perfect literary parody, Arielle Eckstut and David Auburn claim to have stumbled upon lost manuscript pages from Jane Austen's novels, along with shocking letters to her sister and publisher. The 'excerpts' take readers behind closed doors to behold some very naughty goings-on among the characters of Pride and Prejudice, Sense and Sensibility, Emma and all of Austen's novels. Emma, it is revealed, takes self-satisfaction to a whole new level; Charlotte Lucas dresses up as Lady Catherine de Bourgh to give Mr. Collins the spanking of his life; and Fanny and Edmund are not the only ones at Mansfield Park flirting with incest. Elegantly packaged and 'authenticated' by a so-called Austen expert, Pride and Promiscuity belongs on the bookshelf of Austen fanatics and the millions who have made the films based on her works so popular. Even the most serious literary scholar would bet his tenure at whist to get his hands on this",Fiction,"April 1, 2001",146,7,397
Uninvited,Amanda Marrone,4264,2.94,438,"When rejection comes back to bite you...   Jordan's life sucks. Her boyfriend, Michael, dumped her, slept his way through half the student body, and then killed himself. But now, somehow, he appears at her window every night, begging her to let him in.   Jordan can't understand why he wants her, but she feels her resistance wearing down. After all, her life -- once a broken record of boring parties, meaningless hookups, and friends she couldn't relate to -- now consists of her drinking alone in her room as she waits for the sun to go down.   Michael needs to be invited in before he can enter. All Jordan has to do is say the words....",Vampires,"October 23, 2007",224,39,"2,521"
"The Weight Loss Cure """"They"""" Don't Want You to Know About",Kevin Trudeau,350,2.95,68,"An absolute cure for obesity was discovered almost fifty years ago by a British medical doctor. Tens of thousands of people used this simple, inexpensive, safe medical treatment and achieved miraculous, fast, and permanent weight loss. Stubborn area fat deposits melted away. Body reshaping of the hips, thighs, buttocks, and waist was so dramatic it appeared as if the patients received liposuction! Amazingly, this medical breakthrough has been debunked, discredited, and suppressed by the American Medical Association, the Food and Drug Administration, and other medical establishments throughout the world. Now, for the first time in fifty years, this revolutionary breakthrough discovery, which permanently cures the condition of obesity, is being released to the public.The main problems that overweight people deal with are massive, intense, constant physical hunger; food cravings and uncontrollable urges to eat when not hungry; low metabolism; and an abnormally high amount of fat stored in stubborn secure problem areas such as the hips, thighs, buttocks, and waist. This “weight loss cure protocol” has been proven to be virtually 100% successful in correcting these conditions, thus curing the individual of obesity for life! Read the fascinating true story of how this discovery was made and, more importantly, how this miracle weight loss breakthrough has been hidden from the public so that drug companies can make billions of dollars selling their expensive drug treatments and surgical procedures for obesity. You’ll be amazed to read how the food manufacturers actually have a financial incentive to make you fat! This is the book that answers all the questions about why people today are continually getting fatter and fatter. The good news is this book gives you the cure that can solve your overweight condition once and for all.",Health,"February 9, 2012",272,14,265
Maradonia and the Seven Bridges,Gloria Tesch,112,1.9,49,"The Maradonia Sagastarts as an everyday story. A girl called Maya and a boy called Joey found a mysterious place in a forbidden area which opened the way to a World between the Worlds Maradonia. The Land of MaradoniaWith their arrival in Maradonia a prophecy is fulfilled. Overnight their simple life in the small city of Oceanside has changed completely and they are thrust into a strange and perilous world. A world filled with magic and power. Mystery, murder, deceit, revenge, conspiracy, theft but also faith, knowledge, wisdom and passion percolate in this thriller... and it keeps the reader on the edge of their seat.Can Maya and Joey take up the mantle of the prophecy?Can they conquer the Seven Bridges of tests and temptations? Can they change the future of Maradonia?The fate of the legendary kingdom of Maradonia rest in the hands of the Encouragers... Is the final battle between the armies of Light and Darkness unavoidable when the teenagers secure The Key to the Underworld and the rulers of the Empire of Evil are unable to enter their own kingdom?",Fantasy,"January 1, 2008",810,7,75
Pygmy,Chuck Palahniuk,28350,2.97,2100,"The Manchurian Candidate meets South Park—Chuck Palahniuk’s finest novel since the generation-defining Fight Club.“Begins here first account of operative me, agent number 67 on arrival Midwestern American airport greater _____ area. Flight _____. Date _____. Priority mission top success to complete. Code name: Operation Havoc.”Thus speaks Pygmy, one of a handful of young adults from a totalitarian state sent to the United States, disguised as exchange students, to live with typical American families and blend in, all the while planning an unspecified act of massive terrorism. Palahniuk depicts Midwestern life through the eyes of this thoroughly indoctrinated little killer, who hates us with a passion, in this cunning double-edged satire of an American xenophobia that might, in fact, be completely justified. For Pygmy and his fellow operatives are cooking up something big, something truly awful, that will bring this big dumb country and its fat dumb inhabitants to their knees.It’s a comedy. And a romance.",Fiction,"May 5, 2009",255,925,14.1k
Barry Trotter and the Unauthorized Parody,Michael Gerber,2407,2.81,206,Barry Trotter: And the Unauthorized Parody,Fantasy,"October 1, 2001",176,36,"1,127"
Leaving Isn't the Hardest Thing,Lauren  Hough,9049,3.3,1630,"Searing and extremely personal essays from the heart of working-class America, shot through with the darkest elements the country can manifest--cults, homelessness, and hunger--while discovering light and humor in unexpected corners.As an adult, Lauren Hough has had many identities: an airman in the U.S. Air Force, a cable guy, a bouncer at a gay club. As a child, however, she had none. Growing up as a member of the infamous cult The Children of God, Hough had her own self robbed from her. The cult took her all over the globe--to Germany, Japan, Texas, Ecuador--but it wasn't until her mother finally walked away that Lauren understood she could have a life beyond ""The Family.""Along the way, she's loaded up her car and started over, trading one life for the next. She's taken pilgrimages to the sights of her youth, been kept in solitary confinement, dated a lot of women, dabbled in drugs, and eventually found herself as what she always wanted to be: a writer. Here, as she sweeps through the underbelly of America--relying on friends, family, and strangers alike--she begins to excavate a new identity even as her past continues to trail her and color her world, relationships, and perceptions of self.At once razor-sharp, profoundly brave, and often very, very funny, the essays in Leaving Isn't the Hardest Thing interrogate our notions of ecstasy, queerness, and what it means to live freely. Each piece is a reckoning: of survival, identity, and how to reclaim one's past when carving out a future.",Memoir,"April 13, 2021",314,665,22.9k
The Kid,Sapphire,2459,2.69,554,"Fifteen years after the publication of Push, one year after the Academy Award-winning film adaptation, Sapphire gives voice to Precious's son, Abdul. In The Kid bestselling author Sapphire tells the electrifying story of Abdul Jones, the son of Push's unforgettable heroine, Precious.A story of body and spirit, rooted in the hungers of flesh and of the soul, The Kid brings us deep into the interior life of Abdul Jones. We meet him at age nine, on the day of his mother's funeral. Left alone to navigate a world in which love and hate sometimes hideously masquerade, forced to confront unspeakable violence, his history, and the dark corners of his own heart, Abdul claws his way toward adulthood and toward an identity he can stand behind.In a generational story that moves with the speed of thought from a Mississippi dirt farm to Harlem in its heyday; from a troubled Catholic orphanage to downtown artist's lofts, The Kid tells of a twenty- first-century young man's fight to find a way toward the future. A testament to the ferocity of the human spirit and the deep nourishing power of love and of art, The Kid chronicles a young man about to take flight. In the intimate, terrifying, and deeply alive story of Abdul's journey, we are witness to an artist's birth by fire.",Fiction,"January 1, 2011",374,232,"2,895"
Wild Animus,Rich Shapero,852,1.91,244,"Quest with a young idealist for a bliss beyond fear in an unforgiving visionary wilderness, whose ruling deity portends sublime love or self-destruction.",Fiction,"January 1, 2004",315,46,"1,104"
The Eye of Argon,Jim Theis,590,2.68,242,"This is not a hoax. Jim Theis was a real person, who wrote The Eye of Argon in all seriousness as a teenager, and published it in a fanzine, Osfan in 1970. But the story did not pass into the oblivion that awaits most amateur fiction. Instead, a miracle happened, and transcribed and photocopied texts began to circulate in science fiction circles, gaining a wide and incredulous audience among both professionals and fans. It became the ultimate samizdat, an underground classic, and for more than thirty years it has been the subject of midnight readings at conventions, as thousands have come to appreciate the negative genius of this amazing Ed Wood of prose.",Fantasy,"January 1, 1970",76,43,574
Stones To Abbigale,Onision,691,1.92,161,"I want to be direct, my name is Greg. I go by ""Onision"" online. This book is made up of events that occurred in my own life mixed with fiction from the made up life of James. James is essentially a better version of myself. His home, his school & his life all resemble my own at his age. The people James analyzes and is surrounded by are not so unlike those I've known as well. I have experienced much of the loss James has however his happier moments are more often than not also mine. I want to share my story without it being purely non-fiction. I simply felt this approach would make for a far better book. At points I cried while writing this, at others I laughed. Stones To Abbigale is not just a book I wrote, it is a piece of who I am.",Fiction,"March 29, 2015",181,47,567
Empress Theresa,Norman Boutin,208,1.5,90,"There are a million romance, mystery, and modern angst novels, but there is only one book about a heroic teenage American girl winning against impossible odds and changing the world. Read five sample chapters here: http://www.empresstheresa.com/look_in... Judge for yourself! This one of a kind story is a great gift for a teenager. An 18 year old girl gets enormous power over the whole world. What will she do with it? DESCRIPTION: Theresa is honest, courageous, brilliant, loved by everybody ( even China wants her to take herself out of danger ), happily married, powerful but harmless, thoughtful of others' welfare not just her own, a believer in God, and an inspiration to the young and old. She attacks ""impossible"" problems with everything she's got and she never gives up. ____ ""Those who challenge Theresa Hartley's power are fools"" says the Israeli Prime Minister. ""She could destroy the world.""____ ""Don't mess around with Empress Theresa!"" says her husband Steve. __ Empress Theresa is what some people would consider impossible, a book about a good girl, with no sex, foul language, or violence, but still giving the reader an action-filled fascinating story. THE BOOK'S INTRODUCTION FOLLOWS What would you do with limitless power? We know what many people in the world would do. History is full of examples. But the world lucks out. It’s Theresa who gets limitless power. Eighteen year old Theresa only wants a quiet life when she’s suddenly burdened with global responsibilities. She is challenged by a series of “impossible” problems. Especially tricky is the one that prompts her to complain, “What am I supposed to do, change the laws of physics? This is the most impossible problem yet.” Can you guess the solutions before reading what Theresa does? Write a book about a decent girl and some critics will say every character must have serious flaws. I might have made Theresa another kind of personality, a less desirable and troubled kind of girl which would satisfy certain critics, but then people would come at me with a noose complaining, “This was our only chance to see a super-powerful girl in action and you messed up. Why didn’t you give us a loveable, inspiring Theresa?” I did, but I didn’t overdo it. A girl as fine as Theresa can be found in any high school. You know one. Empress Theresa is a tribute to the common, decent human being who quietly builds the world but hasn’t gotten enough attention lately. Norman Boutin, BS, BSN, DMD",Fiction,"March 14, 2014",418,24,290
Kissing the Coronavirus,M.J.    Edwards,3129,2.34,1824,"She was supposed to cure the Coronavirus. Instead... she fell in love with it.Dr. Alexa Ashingtonford is a part of a crack team of scientists tasked with finding the cure to the devastating Coronavirus. Little did she know she would end up falling in love with it, in this steamy viral-erotica.Kissing the Coronavirus is a steamy tale about forbidden love and dark desires come to life.",Romance,"April 22, 2020",16,205,"1,997"
Actors Anonymous,James Franco,1972,2.57,339,"The actors in James Franco’s brilliant debut novel include a McDonald’s drive-thru operator who spends his shift trying on accents; an ex-child star recalling a massive beachside bacchanal; hospital volunteers and Midwestern transplants; a vampire flick starlet who discovers a cryptic book written by a famous actor gone AWOL; and the ghost of River Phoenix. Then there’s Franco himself, who prowls backstage, peering out between the lines—before taking the stage with fascinating meditations on his art, along with nightmarish tales of excess. “Hollywood has always been a private club,” he writes. “I open the gates. I say welcome. I say, Look inside.”   Told in a dizzying array of styles—from lyric essays and disarming testimonials to hilariously rambling text messages and ghostly footnotes—and loosely modeled on Alcoholics Anonymous’s Twelve Steps and Twelve Traditions, Actors Anonymous is an intense, wild ride into the dark heart of celebrity.",Fiction,"August 1, 2013",304,129,"2,718"
The Almost Moon,Alice Sebold,37498,2.71,5868,"A woman steps over the line into the unthinkable in this brilliant, powerful, and unforgettable new novel by the author of The Lovely Bones and Lucky.For years Helen Knightly has given her life to others: to her haunted mother, to her enigmatic father, to her husband and now grown children. When she finally crosses a terrible boundary, her life comes rushing in at her in a way she never could have imagined. Unfolding over the next twenty-four hours, this searing, fast-paced novel explores the complex ties between mothers and daughters, wives and lovers, the meaning of devotion, and the line between love and hate. It is a challenging, moving, gripping story, written with the fluidity and strength of voice that only Alice Sebold can bring to the page.",Fiction,"January 1, 2007",295,"1,108",15k
The Mask of Gold,Alan A. McLean,1315,2,199,,Novels,"January 1, 2001",103,39,392
