Title,Author,Total ratings,Average rating,Total reviews,Description,Top Genre,Date published,Pages,Currently reading,Want to read
The Shack,William Paul Young,619080.0,3.81,34992.0,"Mackenzie Allen Philips' youngest daughter, Missy, has been abducted during a family vacation and evidence that she may have been brutally murdered is found in an abandoned shack deep in the Oregon wilderness. Four years later in the midst of his Great Sadness, Mack receives a suspicious note, apparently from God, inviting him back to that shack for a weekend. Against his better judgment he arrives at the shack on a wintry afternoon and walks back into his darkest nightmare. What he finds there will change Mack's world forever.In a world where religion seems to grow increasingly irrelevant The Shack wrestles with the timeless question, ""Where is God in a world so filled with unspeakable pain?"" The answers Mack gets will astound you and perhaps transform you as much as it did him. You'll want everyone you know to read this book!",Fiction,"May 1, 2007",248,17.5k,207k
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,Miley Cyrus,360.0,3.64,2.0,"This is a book of musical scoresOur deluxe songbook matches the soundtrack CD from the wildly popular concert film, presented in Disney Digital 3-D. Features great photos from the movie, and 14 tunes: The Best of Both Worlds * East Northumberland High * G.N.O. (Girl's Night Out) * Good and Broken * I Got Nerve * Just like You * Let's Dance * Life's What You Make It * Nobody's Perfect * Pumpin' Up the Party * Rock Star * See You Again * Start All Over * We Got the Party.",Media Tie In,"June 1, 2008",112,4,334
"Book of Mormon, Doctrine and Covenants, Pearl of Great Price",The Church of Jesus Christ of Latter-day Saints,27348.0,4.35,790.0,"The Book of Mormon contains the writings of men who lived upon the American continent approximately 600 B.C to 400 A.D. They are written to testify of the divinity of Jesus Christ. The Doctrine & Covenants are revelations given to Joseph Smith, Jr. and other prophets & presidents of the Church mostly pertaining to the present day. The Pearl of Great Price contains the translations by Joseph Smith, Jr. of some ancient papyri that give us more writings of Abraham & Moses,extracts from Joseph's translation of Matthew,a portion of his own history, and The Articles of Faith of the Church. Pagination is as follows (excluding introductory material for each volume): the Book of Mormon, 535 pages; the Doctrine and Covenants, 298 pages; the Pearl of Great Price, 61 pages; and the index, 416 pages.",Religion,"January 1, 1950",1310,"3,659","4,085"
Hannah Montana 2: Meet Miley Cyrus,Miley Cyrus,521.0,4.09,29.0,"Matching folio to the 2-disc set featuring 10 all new Hannah Montana songs from the #1-rated Disney Channel series, as well as 10 brand-new original songs by Miley Cyrus! Titles Bigger Than Us - Clear - East Northumberland High - G.N.O. (Girl's Night Out) - I Miss You - Life's What You Make It - Nobody's Perfect - One in a Million - Rock Star - See You Again - Start All Over - We Got the Party - and more.",Music,"October 1, 2007",160,15,556
The No Spin Zone: Confrontations with the Powerful and Famous in America,Bill O'Reilly,1788.0,3.25,84.0,"“[O'Reilly] is the real McCoy. He's the best reporter I've seen in years…He's smart, well-read, has good values…and he is fearless in picking targets.”—NewsdayBill O'Reilly is even madder today than when he wrote his last book, The O'Reilly Factor, and his fans love him even more. He's mad because things have gone from bad to worse in politics, in Hollywood, in every social stratum of the nation. True to its title, The No Spin Zone cuts through all the rhetoric that some of O'Reilly's most infamous guests have spewed to expose what's really on their minds, while sharing plenty of his own emphatic counterpoints along the way.Shining a searing spotlight on public figures from President George W. Bush and Senator Hillary Clinton to the Reverends Jesse Jackson and Al Sharpton to his former CBS News colleague Dan Rather, The No Spin Zone is laced with the kind of straight-shooting commentary that had made O'Reilly the voice of middle America's disenfranchised.“This explosive anchor can be articulate, bombastic, scornful, witty, iconoclastic, passionate, persuasive, and sarcastic.”—Publisher's Weekly“[O'Reilly's] brand of hard-nosed, regular-guy TV talk is here to stay.”—Newsweek“[The No Spin Zone] vibrates with O'Reilly's gruff Irish wit and elbows-on-the-bar social criticism.”—Atlanta Journal-ConstitutionA twenty-year veteran of the television industry, Bill O'Reilly has won two Emmy awards for excellence in reporting. He served as national correspondent for ABC News and as anchor of the nationally syndicated Inside Edition. A graduate of Marist College, he holds two master's degrees, on in public administration from Harvard and another in broadcast journalism from Boston University. He lives on Long Island with his wife and their daughter.James Ellroy, who contributes an Afterword to The No Spin Zone, is a famed novelist and journalist who profiled Bill O'Reilly for the magazine GQ.",Politics,"January 1, 2001",190,10,247
An Inconvenient Book: Real Solutions to the World's Biggest Problems,Glenn Beck,3979.0,3.74,517.0,"The world is a mess. It seems that every time you turn around, there's another Iran is developing nuclear capabilities. Public schools actually seem to be making our kids dumber. Charlie Sheen has a hit sitcom. Obesity is a national epidemic.The divorce rates is rising faster than gas prices. Did you hear me--Charlie Sheen has a hit sitcom!This just barely scratches the surface. Sadly, there's no shortage of problems what we need now are solutions. If only there was a man who could simplify things, cut through the rhetoric and fix everything? Then, if he was just able to put all of that insight into a book that people could buy...in a store and online say, for like $24.99? Man, that would be great...Wait a minute!""Inconvenient The Real Story Behind The Biggest Problems In The World!"" is that very book the one source for the Real Story behind the problems that seemed too big and complicated to solve (until now) plus their common sense solutions. Think of it as a Hints From Heloise that's less ""getting red wine out of your carpet"" and more ""keeping illegal aliens out of your country""...",Politics,"January 1, 2007",295,108,"1,474"
Let Freedom Ring: Winning the War of Liberty over Liberalism,Sean Hannity,1510.0,3.42,54.0,"As Americans, we face two fundamental questions:First, are we truly prepared to fight this new war to wipe out terrorism and terrorist regimes, and win it decisively—no matter what sacrifices it requires or how long it takes?Second, are we once again prepared to teach our children the fundamental principles and values that make this country great—the values that make this country worth fighting for, living for, and dying for?Sean Hannity is the hottest new phenomenon in TV and talk radio today. His gutsy, take-no-prisoners interviews and commentary on the Fox News Channel's Hannity & Colmes have made him one of cable television's most popular personalities. And his ascendance to the top of the talk radio world with ABC Radio's The Sean Hannity Show has won him a huge and devoted following that includes not only conservatives but anyone else who values straight talk over pandering and excuses.Now, in Let Freedom Ring, Sean Hannity offers a survey of the world—political, social, and cultural—as he sees it. Devoting special attention to 9/11, the war on terror, and the continuing threat we face at home and abroad, he makes clear that the greatest challenge we have to overcome may not be an attack from overseas, but the slow compromising of our national character. And he asks why, particularly in this time of war, should we entrust our future to the voices of the Left—the very people who have spent decades ravaging so many of our core values and traditions?Our nation, as Hannity reminds us, was founded on the idea of freedom. And in order to protect our freedoms, he argues, we must stand vigilant against liberal attempts to compromise our strengths. From our military and intelligence forces, to our borders and airports, to our unified commitment to root out terrorists at home and abroad, he reveals how our strongest lines of defense have come under attack—by left-wing voices within our government, media, schools, and elsewhere. And he shows how even domestic issues like taxation, education, patriotism, and the family have been exploited by liberals with their own agendas—with potentially disastrous results.Filled with the commonsense commentary and passionate argument that have made Sean Hannity the most compelling conservative voice since Rush Limbaugh, Let Freedom Ring is an urgent call to arms. For, as Hannity warns, ""We are engaged in a war of ideas. And civilization is at stake.""",Politics,"January 1, 2002",352,15,634
"Eat, Pray, Love",Elizabeth Gilbert,1678163.0,3.61,56980.0,"A celebrated writer's irresistible, candid, and eloquent account of her pursuit of worldly pleasure, spiritual devotion, and what she really wanted out of life. Around the time Elizabeth Gilbert turned thirty, she went through an early-onslaught midlife crisis. She had everything an educated, ambitious American woman was supposed to want—a husband, a house, a successful career. But instead of feeling happy and fulfilled, she was consumed with panic, grief, and confusion. She went through a divorce, a crushing depression, another failed love, and the eradication of everything she ever thought she was supposed to be. To recover from all this, Gilbert took a radical step. In order to give herself the time and space to find out who she really was and what she really wanted, she got rid of her belongings, quit her job, and undertook a yearlong journey around the world—all alone. Eat, Pray, Love is the absorbing chronicle of that year. Her aim was to visit three places where she could examine one aspect of her own nature set against the backdrop of a culture that has traditionally done that one thing very well. In Rome, she studied the art of pleasure, learning to speak Italian and gaining the twenty-three happiest pounds of her life. India was for the art of devotion, and with the help of a native guru and a surprisingly wise cowboy from Texas, she embarked on four uninterrupted months of spiritual exploration. In Bali, she studied the art of balance between worldly enjoyment and divine transcendence. She became the pupil of an elderly medicine man and also fell in love the best way—unexpectedly. An intensely articulate and moving memoir of self-discovery, Eat, Pray, Love is about what can happen when you claim responsibility for your own contentment and stop trying to live in imitation of society’s ideals. It is certain to touch anyone who has ever woken up to the unrelenting need for change.",Nonfiction,"February 16, 2006",368,27.1k,688k
Evermore,Alyson Noel,284652.0,3.59,10313.0,"The first book in Alyson Noël's extraordinary new Immortals series. Enter an enchanting new world, where true love never dies...After a horrible accident claims the lives of her family, sixteen-year-old Ever Bloom can see people's auras, hear their thoughts, and know someone's entire life story by touching them. Going out of her way to avoid human contact to suppress her abilities, she has been branded a freak at her new high school—but everything changes when she meets Damen Auguste.Damen is gorgeous, exotic and wealthy. He's the only one who can silence the noise and random energy in her head—wielding a magic so intense, it's as though he can peer straight into her soul. As Ever is drawn deeper into his enticing world of secrets and mystery, she's left with more questions than answers. And she has no idea just who he really is—or what he is. The only thing she knows to be true is that she's falling deeply and helplessly in love with him.",Young Adult,"February 3, 2009",301,"2,547",144k
The Catcher in the Rye,J.D. Salinger,3313498.0,3.81,76682.0,"It's Christmas time and Holden Caulfield has just been expelled from yet another school...Fleeing the crooks at Pencey Prep, he pinballs around New York City seeking solace in fleeting encounters—shooting the bull with strangers in dive hotels, wandering alone round Central Park, getting beaten up by pimps and cut down by erstwhile girlfriends. The city is beautiful and terrible, in all its neon loneliness and seedy glamour, its mingled sense of possibility and emptiness. Holden passes through it like a ghost, thinking always of his kid sister Phoebe, the only person who really understands him, and his determination to escape the phonies and find a life of true meaning.The Catcher in the Rye is an all-time classic in coming-of-age literature- an elegy to teenage alienation, capturing the deeply human need for connection and the bewildering sense of loss as we leave childhood behind.
J.D. Salinger's
 (1919–2010) classic novel of teenage angst and rebellion was first published in 1951. The novel was included on Time's 2005 list of the 100 best English-language novels written since 1923. It was named by Modern Library and its readers as one of the 100 best English-language novels of the 20th century. It has been frequently challenged in the court for its liberal use of profanity and portrayal of sexuality and in the 1950's and 60's it was the novel that every teenage boy wants to read.",Classics,"July 16, 1951",277,36.9k,1m
The Audacity of Hope: Thoughts on Reclaiming the American Dream,Barack Obama,161059.0,3.82,5736.0,"The Audacity of Hope is Barack Obama's call for a new kind of politics—a politics that builds upon those shared understandings that pull us together as Americans. Lucid in his vision of America's place in the world, refreshingly candid about his family life and his time in the Senate, Obama here sets out his political convictions and inspires us to trust in the dogged optimism that has long defined us and that is our best hope going forward.",Nonfiction,"January 1, 2006",375,"5,200",180k
The Short Second Life of Bree Tanner,Stephenie Meyer,210519.0,3.51,12252.0,"FANS OF THE TWILIGHT SAGA WILL BE ENTHRALLED BY THIS RIVETING STORY OF BREE TANNER, A CHARACTER FIRST INTRODUCED IN ECLIPSE, AND THE DARKER SIDE OF THE NEWBORN VAMPIRE WORLD SHE INHABITS.BREE TANNER CAN BARELY REMEMBER LIFE before she had uncannily powerful senses, superhuman reflexes, and unstoppable physical strength. Life before she had a relentless thirst for blood... life before she became a vampire.ALL BREE KNOWS IS THAT LIVING WITH HER fellow newborns has few certainties and even fewer rules: watch your back, don't draw attention to yourself, and above all, make it home by sunrise or die. What she doesn't know: her time as an immortal is quickly running out.THEN BREE FINDS AN UNEXPECTED FRIEND in Diego, a newborn just as curious as Bree about their mysterious creator, whom they only know as her. As they come to realize that the newborns are pawns in a game larger than anything they could have imagined, Bree and Diego must choose sides and decide whom to trust. But when everything you know about vampires is based on a lie, how do you find the truth?IN ANOTHER IRRESISTIBLE COMBINATION of danger, mystery, and romance, Stephenie Meyer tells the devastating story of the newborn army as they prepare to close in on Bella Swan and the Cullens, following their encounter to its unforgettable conclusion.",Young Adult,"June 1, 2009",178,"1,893",58.1k
"Deliver Us from Evil: Defeating Terrorism, Despotism, and Liberalism",Sean Hannity,1220.0,3.41,58.0,"Nearly three years have passed since that tragic day in September. Since then, our wounds have healed, but our senses and memories have dulled. At first, the nation rallied behind its leader. But by the time the confrontation with Iraq presented itself, our courage and moral certainty seemed to fade in the face of partisan bickering and posturing. Now the political left and the Democratic Party are trying to use the demanding aftermath of the war to exploit our national cause for their own political advantage. How could we allow ourselves to forget so soon? --from Deliver Us from Evil Sean Hannity's first blockbuster book, the New York Times bestseller Let Freedom Ring , cemented his place as the freshest and most compelling conservative voice in the country. As the host of the phenomenally successful Hannity & Colmes on the Fox News Channel and The Sean Hannity Show on ABC Radio, Hannity has won a wildly devoted fan base. Now he brings his plainspoken, take-no-prisoners style to the continuing War on Terror abroad -- and liberalism at home -- in Deliver Us from Evil . ""Evil exists,"" Hannity asserts. ""It is real, and it means to harm us."" And in these pages he revisits the harsh lessons America has learned in confronting evil in the past and the present, to illuminate the course we must take in the future. Tracing a direct line from Adolf Hitler and Joseph Stalin through Saddam Hussein and Osama bin Laden, he reminds us of the courage and moral clarity of our great leaders. And he reveals how the disgraceful history of appeasement has reached forward from the days of Neville Chamberlain and Jimmy Carter to corrupt the unrepentant leftists of the modern Democratic Party -- from Howard Dean and John Kerry to Bill and Hillary Clinton. As Americans face the ongoing war against terrorists and their state sponsors around the world, Sean Hannity reminds us that we must also cope with the continuing scourge of accommodation and cowardice at home. With his trademark blend of passion and hard-hitting commentary, he urges Americans to recognize the dangers of putting our faith in toothless ""multilateralism"" when the times call for decisive action. For only through strong defense of our freedoms, at home and around the world, can we preserve America's security and liberty in the dangerous twenty-first century.",Politics,"February 17, 2004",368,35,546
Sex and the City,Candace Bushnell,54643.0,3.41,2148.0,"Enter a world where the sometimes shocking and often hilarious mating habits of the privileged are exposed by a true insider. In essays drawn from her witty and sometimes brutally candid column in the New York Observer, Candace Bushnell introduces us to the young and beautiful who travel in packs from parties to bars to clubs. Meet ""Carrie,"" the quintessential young writer looking for love in all the wrong places...""Mr. Big,"" the business tycoon who drifts from one relationship to another...""Samantha Jones,"" the fortyish, successful, ""testosterone woman"" who uses sex like a man...not to mention ""Psycho Moms,"" ""Bicycle Boys,"" ""International Crazy Girls,"" and the rest of the New Yorkers who have inspired one of the most watched TV series of our time. You've seen them on HBO, now read the book that started it all...",Chick Lit,"January 1, 1996",304,"1,314",31.3k
The Golden Compass,Philip Pullman,1465240.0,4.01,26561.0,"Lyra is rushing to the cold, far North, where witch clans and armored bears rule. North, where the Gobblers take the children they steal--including her friend Roger. North, where her fearsome uncle Asriel is trying to build a bridge to a parallel world.Can one small girl make a difference in such great and terrible endeavors? This is Lyra: a savage, a schemer, a liar, and as fierce and true a champion as Roger or Asriel could want--but what Lyra doesn't know is that to help one of them will be to betray the other.",Fantasy,"July 1, 1995",399,18.6k,537k
Fifty Shades Darker,E.L. James,861009.0,3.83,30271.0,"Daunted by the singular sexual tastes and dark secrets of the beautiful, tormented young entrepreneur Christian Grey, Anastasia Steele has broken off their relationship to start a new career with a Seattle publishing house. But desire for Christian still dominates her every waking thought, and when he proposes a new arrangement, Anastasia cannot resist. They rekindle their searing sensual affair, and Anastasia learns more about the harrowing past of her damaged, driven, and demanding Fifty Shades. While Christian wrestles with his inner demons, Anastasia must confront her anger and envy of the women who came before her and make the most important decision of her life. Erotic, sparkling and suspenseful, Fifty Shades Darker is the irresistibly addictive second part of the Fifty Shades trilogy.",Romance,"September 13, 2011",532,18.6k,171k
An Inconvenient Truth: The Planetary Emergency of Global Warming and What We Can Do About It,Al Gore,6694.0,3.78,515.0,"An Inconvenient Truth—Gore's groundbreaking, battle cry of a follow-up to the bestselling Earth in the Balance—is being published to tie in with a documentary film of the same name. Both the book and film were inspired by a series of multimedia presentations on global warming that Gore created and delivers to groups around the world. With this book, Gore, who is one of our environmental heroes—and a leading expert—brings together leading-edge research from top scientists around the world; photographs, charts, and other illustrations; and personal anecdotes and observations to document the fast pace and wide scope of global warming. He presents, with alarming clarity and conclusiveness—and with humor, too—that the fact of global warming is not in question and that its consequences for the world we live in will be disastrous if left unchecked. This riveting new book—written in an accessible, entertaining style—will open the eyes of even the most skeptical.",Nonfiction,"January 1, 2006",320,126,"7,456"
First Step 2 Forever,Justin Bieber,4948.0,4.24,503.0,"His debut album has already gone platinum. His YouTube videos have received over 10 million hits. He's sung for the president of the United States. His screaming fans have stormed TV studios and shut down shopping malls. Justin Bieber is a global superstar and now, for the first time ever, he's going to tell all in his very own book. In this book, Justin tells the story of his amazing journey from small-town schoolboy to global superstar. Stunningly designed and jam packed full of exclusive unseen photos of Justin on and off stage, plus private captured moments, the awesome story of Justin's phenomenal rise to superstardom is a must-have for any true fan.",Nonfiction,"January 1, 2010",236,199,"2,931"
Scientology 8-8008: How to Increase Your Spirituality Ability from Zero to Infinity,L. Ron Hubbard,185.0,3.03,9.0,"You can live life and learn of life, but life will never be truly comprehensible to you, no matter how much you live, unless you know the basics of life itself contained in Scientology 8-8008. These basics are nothing less than the foundation upon which rest all your hopes and dreams and any beauty you will ever see or feel.",Religion,"January 1, 1953",276,3,132
